episode: 193 | reward: -21.0 | mean_reward: -19.94 | epsilon: 0.81 | speed: 95.23 frames/s
episode: 194 | reward: -21.0 | mean_reward: -19.94 | epsilon: 0.81 | speed: 95.31 frames/s
episode: 195 | reward: -21.0 | mean_reward: -19.95 | epsilon: 0.81 | speed: 94.79 frames/s
episode: 196 | reward: -20.0 | mean_reward: -19.94 | epsilon: 0.81 | speed: 95.26 frames/s
episode: 197 | reward: -20.0 | mean_reward: -19.93 | epsilon: 0.81 | speed: 96.42 frames/s
episode: 198 | reward: -20.0 | mean_reward: -19.92 | epsilon: 0.80 | speed: 95.96 frames/s
episode: 199 | reward: -21.0 | mean_reward: -19.92 | epsilon: 0.80 | speed: 95.15 frames/s
episode: 200 | reward: -21.0 | mean_reward: -19.92 | epsilon: 0.80 | speed: 95.67 frames/s
episode: 201 | reward: -19.0 | mean_reward: -19.93 | epsilon: 0.80 | speed: 95.11 frames/s
episode: 202 | reward: -20.0 | mean_reward: -19.94 | epsilon: 0.80 | speed: 95.32 frames/s
episode: 203 | reward: -20.0 | mean_reward: -19.94 | epsilon: 0.80 | speed: 94.52 frames/s
episode: 204 | reward: -21.0 | mean_reward: -19.95 | epsilon: 0.80 | speed: 95.80 frames/s
episode: 205 | reward: -21.0 | mean_reward: -19.97 | epsilon: 0.80 | speed: 96.41 frames/s
episode: 206 | reward: -20.0 | mean_reward: -19.96 | epsilon: 0.80 | speed: 95.10 frames/s
episode: 207 | reward: -21.0 | mean_reward: -19.96 | epsilon: 0.80 | speed: 95.27 frames/s
episode: 208 | reward: -21.0 | mean_reward: -19.99 | epsilon: 0.79 | speed: 95.46 frames/s
episode: 209 | reward: -21.0 | mean_reward: -19.99 | epsilon: 0.79 | speed: 94.16 frames/s
episode: 210 | reward: -21.0 | mean_reward: -20.01 | epsilon: 0.79 | speed: 95.84 frames/s
episode: 211 | reward: -19.0 | mean_reward: -20.00 | epsilon: 0.79 | speed: 96.05 frames/s
episode: 212 | reward: -21.0 | mean_reward: -20.01 | epsilon: 0.79 | speed: 96.18 frames/s
episode: 213 | reward: -20.0 | mean_reward: -20.01 | epsilon: 0.79 | speed: 94.75 frames/s
episode: 214 | reward: -20.0 | mean_reward: -20.00 | epsilon: 0.79 | speed: 96.14 frames/s
episode: 215 | reward: -19.0 | mean_reward: -19.98 | epsilon: 0.79 | speed: 95.56 frames/s
episode: 216 | reward: -21.0 | mean_reward: -19.98 | epsilon: 0.79 | speed: 96.24 frames/s
episode: 217 | reward: -21.0 | mean_reward: -19.99 | epsilon: 0.79 | speed: 95.41 frames/s
episode: 218 | reward: -20.0 | mean_reward: -19.99 | epsilon: 0.78 | speed: 96.11 frames/s
episode: 219 | reward: -21.0 | mean_reward: -20.00 | epsilon: 0.78 | speed: 95.25 frames/s
episode: 220 | reward: -15.0 | mean_reward: -19.97 | epsilon: 0.78 | speed: 95.27 frames/s
episode: 221 | reward: -21.0 | mean_reward: -19.97 | epsilon: 0.78 | speed: 95.34 frames/s
episode: 222 | reward: -19.0 | mean_reward: -19.96 | epsilon: 0.78 | speed: 94.98 frames/s
episode: 223 | reward: -19.0 | mean_reward: -19.95 | epsilon: 0.78 | speed: 95.43 frames/s
episode: 224 | reward: -20.0 | mean_reward: -19.98 | epsilon: 0.78 | speed: 95.25 frames/s
episode: 225 | reward: -18.0 | mean_reward: -19.96 | epsilon: 0.78 | speed: 94.93 frames/s
episode: 226 | reward: -21.0 | mean_reward: -19.96 | epsilon: 0.78 | speed: 95.21 frames/s
episode: 227 | reward: -21.0 | mean_reward: -19.96 | epsilon: 0.77 | speed: 95.33 frames/s
episode: 228 | reward: -20.0 | mean_reward: -19.95 | epsilon: 0.77 | speed: 94.82 frames/s
episode: 229 | reward: -21.0 | mean_reward: -19.96 | epsilon: 0.77 | speed: 95.02 frames/s
episode: 230 | reward: -21.0 | mean_reward: -19.98 | epsilon: 0.77 | speed: 95.98 frames/s
episode: 231 | reward: -19.0 | mean_reward: -19.97 | epsilon: 0.77 | speed: 95.85 frames/s
episode: 232 | reward: -20.0 | mean_reward: -19.97 | epsilon: 0.77 | speed: 94.92 frames/s
episode: 233 | reward: -20.0 | mean_reward: -19.97 | epsilon: 0.77 | speed: 95.02 frames/s
episode: 234 | reward: -21.0 | mean_reward: -19.98 | epsilon: 0.77 | speed: 95.77 frames/s
episode: 235 | reward: -20.0 | mean_reward: -19.98 | epsilon: 0.77 | speed: 94.14 frames/s
episode: 236 | reward: -19.0 | mean_reward: -19.98 | epsilon: 0.76 | speed: 95.29 frames/s
episode: 237 | reward: -17.0 | mean_reward: -19.94 | epsilon: 0.76 | speed: 94.74 frames/s
episode: 238 | reward: -19.0 | mean_reward: -19.93 | epsilon: 0.76 | speed: 93.64 frames/s
episode: 239 | reward: -19.0 | mean_reward: -19.91 | epsilon: 0.76 | speed: 94.79 frames/s
episode: 240 | reward: -18.0 | mean_reward: -19.90 | epsilon: 0.76 | speed: 95.06 frames/s
episode: 241 | reward: -19.0 | mean_reward: -19.88 | epsilon: 0.76 | speed: 94.68 frames/s
episode: 242 | reward: -18.0 | mean_reward: -19.85 | epsilon: 0.76 | speed: 95.83 frames/s
episode: 243 | reward: -21.0 | mean_reward: -19.85 | epsilon: 0.76 | speed: 94.64 frames/s
episode: 244 | reward: -20.0 | mean_reward: -19.87 | epsilon: 0.76 | speed: 94.62 frames/s
episode: 245 | reward: -20.0 | mean_reward: -19.87 | epsilon: 0.75 | speed: 94.64 frames/s
episode: 246 | reward: -21.0 | mean_reward: -19.87 | epsilon: 0.75 | speed: 95.55 frames/s
