episode: 183 | reward: -20.0 | mean_reward: -19.68 | epsilon: 0.83 | speed: 75.99 frames/s
episode: 184 | reward: -21.0 | mean_reward: -19.70 | epsilon: 0.83 | speed: 75.01 frames/s
episode: 185 | reward: -21.0 | mean_reward: -19.70 | epsilon: 0.83 | speed: 75.37 frames/s
episode: 186 | reward: -21.0 | mean_reward: -19.70 | epsilon: 0.82 | speed: 76.63 frames/s
episode: 187 | reward: -20.0 | mean_reward: -19.69 | epsilon: 0.82 | speed: 83.62 frames/s
episode: 188 | reward: -19.0 | mean_reward: -19.67 | epsilon: 0.82 | speed: 82.83 frames/s
episode: 189 | reward: -20.0 | mean_reward: -19.66 | epsilon: 0.82 | speed: 77.99 frames/s
episode: 190 | reward: -20.0 | mean_reward: -19.67 | epsilon: 0.82 | speed: 76.78 frames/s
episode: 191 | reward: -20.0 | mean_reward: -19.66 | epsilon: 0.82 | speed: 76.35 frames/s
episode: 192 | reward: -21.0 | mean_reward: -19.67 | epsilon: 0.82 | speed: 82.78 frames/s
episode: 193 | reward: -20.0 | mean_reward: -19.68 | epsilon: 0.82 | speed: 83.16 frames/s
episode: 194 | reward: -18.0 | mean_reward: -19.67 | epsilon: 0.82 | speed: 84.58 frames/s
episode: 195 | reward: -21.0 | mean_reward: -19.71 | epsilon: 0.81 | speed: 83.63 frames/s
episode: 196 | reward: -20.0 | mean_reward: -19.71 | epsilon: 0.81 | speed: 83.11 frames/s
episode: 197 | reward: -17.0 | mean_reward: -19.67 | epsilon: 0.81 | speed: 83.73 frames/s
episode: 198 | reward: -19.0 | mean_reward: -19.67 | epsilon: 0.81 | speed: 82.59 frames/s
episode: 199 | reward: -21.0 | mean_reward: -19.67 | epsilon: 0.81 | speed: 83.88 frames/s
episode: 200 | reward: -21.0 | mean_reward: -19.68 | epsilon: 0.81 | speed: 81.29 frames/s
episode: 201 | reward: -16.0 | mean_reward: -19.65 | epsilon: 0.81 | speed: 76.96 frames/s
episode: 202 | reward: -20.0 | mean_reward: -19.66 | epsilon: 0.81 | speed: 75.66 frames/s
episode: 203 | reward: -18.0 | mean_reward: -19.63 | epsilon: 0.81 | speed: 76.23 frames/s
episode: 204 | reward: -19.0 | mean_reward: -19.63 | epsilon: 0.80 | speed: 76.51 frames/s
episode: 205 | reward: -16.0 | mean_reward: -19.58 | epsilon: 0.80 | speed: 76.12 frames/s
episode: 206 | reward: -20.0 | mean_reward: -19.57 | epsilon: 0.80 | speed: 75.20 frames/s
episode: 207 | reward: -20.0 | mean_reward: -19.56 | epsilon: 0.80 | speed: 76.13 frames/s
episode: 208 | reward: -20.0 | mean_reward: -19.58 | epsilon: 0.80 | speed: 77.20 frames/s
episode: 209 | reward: -17.0 | mean_reward: -19.55 | epsilon: 0.80 | speed: 76.28 frames/s
episode: 210 | reward: -19.0 | mean_reward: -19.53 | epsilon: 0.80 | speed: 75.91 frames/s
episode: 211 | reward: -19.0 | mean_reward: -19.52 | epsilon: 0.80 | speed: 77.28 frames/s
episode: 212 | reward: -21.0 | mean_reward: -19.53 | epsilon: 0.80 | speed: 74.07 frames/s
episode: 213 | reward: -19.0 | mean_reward: -19.57 | epsilon: 0.79 | speed: 74.34 frames/s
episode: 214 | reward: -19.0 | mean_reward: -19.56 | epsilon: 0.79 | speed: 75.40 frames/s
episode: 215 | reward: -21.0 | mean_reward: -19.56 | epsilon: 0.79 | speed: 76.04 frames/s
episode: 216 | reward: -19.0 | mean_reward: -19.55 | epsilon: 0.79 | speed: 75.93 frames/s
episode: 217 | reward: -21.0 | mean_reward: -19.55 | epsilon: 0.79 | speed: 75.96 frames/s
episode: 218 | reward: -19.0 | mean_reward: -19.54 | epsilon: 0.79 | speed: 76.21 frames/s
episode: 219 | reward: -19.0 | mean_reward: -19.54 | epsilon: 0.79 | speed: 77.16 frames/s
episode: 220 | reward: -18.0 | mean_reward: -19.52 | epsilon: 0.79 | speed: 76.68 frames/s
episode: 221 | reward: -19.0 | mean_reward: -19.52 | epsilon: 0.79 | speed: 76.12 frames/s
episode: 222 | reward: -20.0 | mean_reward: -19.51 | epsilon: 0.79 | speed: 76.85 frames/s
episode: 223 | reward: -20.0 | mean_reward: -19.51 | epsilon: 0.78 | speed: 76.77 frames/s
episode: 224 | reward: -19.0 | mean_reward: -19.52 | epsilon: 0.78 | speed: 77.10 frames/s
episode: 225 | reward: -18.0 | mean_reward: -19.50 | epsilon: 0.78 | speed: 77.05 frames/s
episode: 226 | reward: -21.0 | mean_reward: -19.51 | epsilon: 0.78 | speed: 77.01 frames/s
episode: 227 | reward: -20.0 | mean_reward: -19.52 | epsilon: 0.78 | speed: 77.95 frames/s
episode: 228 | reward: -19.0 | mean_reward: -19.51 | epsilon: 0.78 | speed: 76.12 frames/s
episode: 229 | reward: -18.0 | mean_reward: -19.48 | epsilon: 0.78 | speed: 78.65 frames/s
episode: 230 | reward: -21.0 | mean_reward: -19.50 | epsilon: 0.78 | speed: 75.46 frames/s
episode: 231 | reward: -21.0 | mean_reward: -19.50 | epsilon: 0.78 | speed: 75.76 frames/s
episode: 232 | reward: -21.0 | mean_reward: -19.51 | epsilon: 0.77 | speed: 74.54 frames/s
episode: 233 | reward: -20.0 | mean_reward: -19.51 | epsilon: 0.77 | speed: 74.76 frames/s
episode: 234 | reward: -19.0 | mean_reward: -19.50 | epsilon: 0.77 | speed: 74.71 frames/s
